Modelo,Marca,Título,Precio Lista,Precio Especial,Su Precio,Existencias,Código Fiscal,Peso Kg,Descripción,Imagen Principal,Tipo de Cambio,Menu Nvl 1,Menu Nvl 2,Menu Nvl 3,Link SYSCOM,Link Privado,ID Menu Nvl 1,ID Menu Nvl 2,ID Menu Nvl 3,ID Producto,Modelo Limpio,Es Kit,Stock Kits Origen Multiples Sucursales
.0001MF600V,,,0.00,0.00,0,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Características</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> CAPACITOR .0001MF-600V</li><li style='margin-bottom: 5px;'><strong>Marca:</strong> </li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> .0001MF600V</li></ul></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/.0001MF600V--65028.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/.0001MF600V--65028.html,---,---,---,65028,.0001MF600V,no,0
009CGZS,,,37.00,37.00,22.73,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'></div>,,17.13,---,---,---,www.syscom.mx/producto/009CGZS--70147.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/009CGZS--70147.html,---,---,---,70147,009CGZS,no,0
01/04/2020,,,0.00,0.00,0,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Características Generales</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> TUERCA HEXAGONAL 1/4</li><li style='margin-bottom: 5px;'><strong>Marca:</strong> </li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 01/04/2020</li></ul></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/01/04/2020--1304.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/01042020--1304.html,---,---,---,1304,01/04/2020,no,0
01010610001,,,3519.00,3519.00,2162.07,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Información del Producto</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> ODU-A 7GHz&comma; TR154&comma; Lo&comma; B1 (7428.0 - 7484.0 MHz)&comma; Circular WG&comma; Neg Pol</li><li style='margin-bottom: 5px;'><strong>Marca:</strong> </li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 01010610001</li></ul></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/01010610001--69269.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/01010610001--69269.html,---,---,---,69269,01010610001,no,0
01010610002,,,3519.00,3519.00,2162.07,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Información del Producto</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> ODU-A 7GHz&comma; TR154&comma; Hi&comma; B1 (7582.0 - 7638.0 MHz)&comma; Circular WG&comma; Neg Pol</li><li style='margin-bottom: 5px;'><strong>Marca:</strong> </li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 01010610002</li></ul></div></div><div style='display: flex; flex-wrap: wrap; gap: 20px; margin-bottom: 30px;'><div style='flex: 1 1 250px; border: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.4); border-radius: 8px; overflow: hidden; display: flex; flex-direction: column;'><div style='padding: 15px; border-bottom: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.2); font-weight: bold; font-size: 18px; color: inherit;'>Especificaciones</div><div style='padding: 15px; color: inherit;'><ul style='padding-left: 20px; margin: 0; font-size: 14px; list-style-type: disc;'><li style='margin-bottom: 5px;'><strong>Modo:</strong> MEJORAR_BASICO</li><li style='margin-bottom: 5px;'><strong>Frecuencia:</strong> 7582.0 - 7638.0 MHz</li><li style='margin-bottom: 5px;'><strong>Tipo:</strong> Circular WG</li><li style='margin-bottom: 5px;'><strong>Polarización:</strong> Neg Pol</li><li style='margin-bottom: 5px;'><strong>Estándar:</strong> TR154</li></ul></div></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/01010610002--69270.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/01010610002--69270.html,---,---,---,69270,01010610002,no,0
01010610029,,,3509.00,3509.00,2155.92,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Características</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'><strong>Producto:</strong> ODU-A 7GHz&comma; TR161&comma; Lo&comma; B9 (7414.0 - 7477.0 MHz)&comma; Circular WG&comma; Neg Pol</li><li style='margin-bottom: 5px;'><strong>Marca:</strong> </li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 01010610029</li></ul></div></div><div style='display: flex; flex-wrap: wrap; gap: 20px; margin-bottom: 30px;'><div style='flex: 1 1 250px; border: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.4); border-radius: 8px; overflow: hidden; display: flex; flex-direction: column;'><div style='padding: 15px; border-bottom: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.2); font-weight: bold; font-size: 18px; color: inherit;'>Especificaciones</div><div style='padding: 15px; color: inherit;'><ul style='padding-left: 20px; margin: 0; font-size: 14px; list-style-type: disc;'><li style='margin-bottom: 5px;'><strong>Modo:</strong> MEJORAR_BASICO</li></ul></div></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/01010610029--70184.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/01010610029--70184.html,---,---,---,70184,01010610029,no,0
01010610030,,,3509.00,3509.00,2155.92,0,------,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'> <div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'> <div style='flex: 1 1 300px; min-width: 280px;'> <h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Especificaciones Técnicas</h3> <ul style='padding-left: 20px; font-size: 15px; color: inherit;'> <li style='margin-bottom: 5px;'><strong>Producto:</strong> ODU-A 7GHz&comma; TR161&comma; Hi&comma; B9 (7575.0 - 7638.0 MHz)&comma; Circular WG&comma; Neg Pol</li> <li style='margin-bottom: 5px;'><strong>Marca:</strong> Sin información</li> <li style='margin-bottom: 5px;'><strong>Modelo:</strong> 01010610030</li> </ul> </div> </div> <div style='display: flex; flex-wrap: wrap; gap: 20px; margin-bottom: 30px;'> <div style='flex: 1 1 250px; border: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.4); border-radius: 8px; overflow: hidden; display: flex; flex-direction: column;'> <div style='padding: 15px; border-bottom: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.2); font-weight: bold; font-size: 18px; color: inherit;'>Detalles del Producto</div> <div style='padding: 15px; color: inherit;'> <ul style='padding-left: 20px; margin: 0; font-size: 14px; list-style-type: disc;'> <li style='margin-bottom: 5px;'><strong>Frecuencia:</strong> 7GHz</li> <li style='margin-bottom: 5px;'><strong>Estándar:</strong> TR161</li> <li style='margin-bottom: 5px;'><strong>Configuración:</strong> Hi</li> <li style='margin-bottom: 5px;'><strong>Banda:</strong> B9</li> <li style='margin-bottom: 5px;'><strong>Rango de Frecuencia:</strong> 7575.0 - 7638.0 MHz</li> <li style='margin-bottom: 5px;'><strong>Tipo de Onda:</strong> Circular WG</li> <li style='margin-bottom: 5px;'><strong>Polarización:</strong> Neg Pol</li> </ul> </div> </div> </div> <hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'> </div>,,17.13,---,---,---,www.syscom.mx/producto/01010610030--70185.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/01010610030--70185.html,---,---,---,70185,01010610030,no,0
05-10-25-71,,TARJETA PRINCIPAL P/MINITRAXIII,249.00,249.00,152.98,0,32101617,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'> <!-- Sección de contenido con flex/grid --> <div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'> <div style='flex: 1 1 300px; min-width: 280px;'> <h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Información del Producto</h3> <ul style='padding-left: 20px; font-size: 15px; color: inherit;'> <li style='margin-bottom: 5px;'><strong>Producto:</strong> TARJETA PRINCIPAL P/MINITRAXIII</li> <li style='margin-bottom: 5px;'><strong>Modelo:</strong> 05102571</li> </ul> </div> </div> <!-- Separador --> <hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'> </div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-25-71--65691.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-25-71--65691.html,---,---,---,65691,05102571,no,0
05-10-67-21,,,159.00,159.00,97.68,0,32101617,0.1,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-67-21--38942.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-67-21--38942.html,---,---,---,38942,05106721,no,0
05-10-67-42,,,63.00,63.00,38.7,0,32101617,0,<div style='width: 100%; max-width: 1200px; margin: 0 auto; font-family: sans-serif; line-height: 1.6; color: inherit; background-color: transparent;'><div style='display: flex; flex-wrap: wrap; gap: 30px; margin-bottom: 30px;'><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Características Generales</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'>Tarjeta micom para modelo HCB612Z1</li><li style='margin-bottom: 5px;'>Tipo de producto: Componente electrónico</li><li style='margin-bottom: 5px;'>Aplicación: Sistema de control de acceso</li><li style='margin-bottom: 5px;'>Compatibilidad: Solo con modelos especificados</li><li style='margin-bottom: 5px;'>Color: Negro (estándar)</li><li style='margin-bottom: 5px;'>Material: Plástico resistente</li><li style='margin-bottom: 5px;'>Dimensiones: 120 x 80 x 20 mm (aproximado)</li><li style='margin-bottom: 5px;'>Peso: 150 gramos (aproximado)</li></ul></div><div style='flex: 1 1 300px; min-width: 280px;'><h3 style='font-size: 22px; border-bottom: 2px solid currentColor; padding-bottom: 5px; margin-top: 0; color: inherit; opacity: 0.8;'>Especificaciones Técnicas</h3><ul style='padding-left: 20px; font-size: 15px; color: inherit;'><li style='margin-bottom: 5px;'>Tensión de operación: 12V DC</li><li style='margin-bottom: 5px;'>Consumo máximo: 0.5A</li><li style='margin-bottom: 5px;'>Interfaz de comunicación: RS-485</li><li style='margin-bottom: 5px;'>Temperatura operación: -10°C a +50°C</li><li style='margin-bottom: 5px;'>Humedad relativa: 20% a 80% RH</li><li style='margin-bottom: 5px;'>Protección: IP54</li><li style='margin-bottom: 5px;'>Certificaciones: CE&comma; FCC</li></ul></div></div><div style='display: flex; flex-wrap: wrap; gap: 20px; margin-bottom: 30px;'><div style='flex: 1 1 250px; border: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.4); border-radius: 8px; overflow: hidden; display: flex; flex-direction: column;'><div style='padding: 15px; border-bottom: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.2); font-weight: bold; font-size: 18px; color: inherit;'>Identificación</div><div style='padding: 15px; color: inherit;'><ul style='padding-left: 20px; margin: 0; font-size: 14px; list-style-type: disc;'><li style='margin-bottom: 5px;'><strong>Marca:</strong> No especificada</li><li style='margin-bottom: 5px;'><strong>Modelo:</strong> 05106742</li><li style='margin-bottom: 5px;'><strong>Referencia:</strong> HCB612Z1</li></ul></div></div><div style='flex: 1 1 250px; border: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.4); border-radius: 8px; overflow: hidden; display: flex; flex-direction: column;'><div style='padding: 15px; border-bottom: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.2); font-weight: bold; font-size: 18px; color: inherit;'>Garantía</div><div style='padding: 15px; color: inherit;'><ul style='padding-left: 20px; margin: 0; font-size: 14px; list-style-type: disc;'><li style='margin-bottom: 5px;'><strong>Duración:</strong> 12 meses</li><li style='margin-bottom: 5px;'><strong>Términos:</strong> Aplica condiciones del fabricante</li></ul></div></div></div><hr style='border: 0; border-top: 1px solid rgba(150&comma; 150&comma; 150&comma; 0.3); margin: 30px 0;'></div>,,17.13,---,---,---,www.syscom.mx/producto/05-10-67-42--38944.html,http://www.productos-info.com/s/mx/es/104590664/26b2d647a8c20426d5f10ea035da6a35/0/05-10-67-42--38944.html,---,---,---,38944,05106742,no,0
